,product_name,cost,camera
0,"realme C11 2021 (Cool Grey, 32 GB)","₹7,499",8MP Rear Camera | 5MP Front Camera
1,"realme C11 2021 (Cool Blue, 32 GB)","₹7,499",8MP Rear Camera | 5MP Front Camera
2,"realme C11 2021 (Cool Blue, 64 GB)","₹8,999",8MP Rear Camera | 5MP Front Camera
3,"realme C11 2021 (Cool Grey, 64 GB)","₹8,999",8MP Rear Camera | 5MP Front Camera
4,"realme C31 (Light Silver, 32 GB)","₹9,299",13MP + 2MP + 0.3MP | 5MP Front Camera
5,"realme C31 (Dark Green, 64 GB)","₹9,999",13MP + 2MP + 0.3MP | 5MP Front Camera
6,"realme C35 (Glowing Black, 64 GB)","₹11,999",50MP + 2MP + 0.3MP | 8MP Front Camera
7,"realme C31 (Light Silver, 64 GB)","₹9,999",13MP + 2MP + 0.3MP | 5MP Front Camera
8,"realme C35 (Glowing Green, 64 GB)","₹11,999",50MP + 2MP + 0.3MP | 8MP Front Camera
9,"realme C35 (Glowing Black, 128 GB)","₹12,999",50MP + 2MP + 0.3MP | 8MP Front Camera
10,"realme 9 (Sunburst Gold, 128 GB)","₹18,999",108MP + 8MP + 2MP | 16MP Front Camera
11,"realme 9 (Stargaze White, 128 GB)","₹18,999",108MP + 8MP + 2MP | 16MP Front Camera
12,"realme 9 Pro+ 5G (Sunrise Blue, 128 GB)","₹24,999",50MP + 8MP + 2MP | 16MP Front Camera
13,"realme 9 Pro+ 5G (Midnight Black, 128 GB)","₹26,999",50MP + 8MP + 2MP | 16MP Front Camera
14,"realme C31 (Dark Green, 32 GB)","₹9,299",13MP + 2MP + 0.3MP | 5MP Front Camera
15,"realme Narzo 50A (Oxygen Green, 128 GB)","₹12,499",50MP + 2MP + 2MP | 8MP Front Camera
16,"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,499",50MP + 2MP + 2MP | 8MP Front Camera
17,"realme Narzo 50 (Speed Blue, 64 GB)","₹11,999",50MP + 2MP + 2MP | 16MP Front Camera
18,"realme Narzo 50 (Speed Black, 128 GB)","₹14,499",50MP + 2MP + 2MP | 16MP Front Camera
19,"realme C35 (Glowing Green, 128 GB)","₹12,999",50MP + 2MP + 0.3MP | 8MP Front Camera
20,"realme Narzo 30 5G (Racing Blue, 128 GB)","₹16,999",48MP + 2MP + 2MP | 16MP Front Camera
21,"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499",50MP + 2MP + 2MP | 8MP Front Camera
22,"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,499",50MP + 2MP + 2MP | 8MP Front Camera
23,"realme 9 Pro+ 5G (Aurora Green, 128 GB)","₹24,999",50MP + 8MP + 2MP | 16MP Front Camera
